 file,avg_source_probability,avg_destination_probability,most_probable_source,most_probable_destination
g10_merge_bimodal_uniform_filtered_100.csv,0.08333333333333333,0.5,029fe435040c8b665f731f2b0c81d039238ef1e3a1b1de0afac2b476361a26d675,03b5006b578f5b113d8031c6a671ae1e135e0de4c010087e26ee7442e10cb563c5
g10_merge_bimodal_uniform_filtered_1000.csv,0.00016504373659019826,0.025641025641025637,0228cc784d015731cc0c5dc2163c8bb856f59feb3234ce813edeccf2e26733c32d,03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49
g10_merge_bimodal_uniform_filtered_10000.csv,0.25,0.3333333333333333,022e5fb4aacd3d96555c3b0a9481a2d8b64d20603fb94661eda206f970b956078f,02c8d72638ddf8d20774500d64118acdda6d2ce4854257ae7ed114941dcf58914a
g10_merge_filtered_10.csv,0.00015895724050230274,0.023255813953488382,0322d0e43b3d92d30ed187f4e101a9a9605c3ee5fc9721e6dac3ce3d7732fbb13e,03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49
g10_merge_filtered_100.csv,0.0016611295681063112,0.0018450184501845035,034a5fdb2df3ce1bfd2c2aca205ce9cfeef1a5f4af21b0b5e81c453080c30d7683,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69
g10_merge_filtered_1000.csv,0.5,0.05555555555555555,02754df212918e119f425d4498a0bcbf1ef91de9586ae5330d7844f0c370ac89fd,034201357a0c4bf1d78c905a06054945574a44be0bf0cd8630e273fdc0918ae6ae
g10_merge_filtered_10000.csv,0.06250000000000001,0.00014255167498220092,03eb160b3088da74af0edcd8cada588aca23a3f251eb6bc2a57cb75ca93fbdf0cd,033ac2f9f7ff643c235cc247c521663924aff73b26b38118a6c6821460afcde1b3
g10_merge_uniform_filtered_10.csv,0.00014086491055078246,0.14285714285714285,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,038525acf733137b782116669f512116f717d4cddcd065cb4f9da73aa653794d46
g10_merge_uniform_filtered_100.csv,0.038461538461538464,0.012048192771084326,02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,03f84b4d4de050515ac58dd2b0ccf2c10d6a69178d9b0e0c70066d0d8cffedddd4
g10_merge_uniform_filtered_1000.csv,0.011363636363636347,0.1111111111111111,03c281e9c640d8ccdeeb600b517cf73f127f2bdc313b3d857a24409a52108fbeac,039bd6ad6e5da4fd0774023233b818e5c930a2224d70d84366840bd9476232711b
g10_merge_uniform_filtered_10000.csv,0.02857142857142857,0.00018281535648994202,03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5,0309b984e585af52d4f95816d99eb9dcc62fdc1c3df4fd68865f88121a8d256170
