Type,Node,Probability
Source,02685697ab29f0076fc888368c0981eb3c305feaa6f6dd1c4255a5504810711756,0.3333333333333333
Probability of Source 02685697ab29f0076fc888368c0981eb3c305feaa6f6dd1c4255a5504810711756: 0.3333333333333333
Source,02fa1cff2aa510b924d243a82211772e0424ebed075f27435980acdfccaf9b7530,0.3333333333333333
Probability of Source 02fa1cff2aa510b924d243a82211772e0424ebed075f27435980acdfccaf9b7530: 0.3333333333333333
Source,027af586a5ebce34c3c86a6acc9f6af97a027e98333b347a2760953468b0ef45a6,0.3333333333333333
Probability of Source 027af586a5ebce34c3c86a6acc9f6af97a027e98333b347a2760953468b0ef45a6: 0.3333333333333333
Destination,0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,1.0
Probability of Destination 0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447: 1.0

Most Probable Source: 02685697ab29f0076fc888368c0981eb3c305feaa6f6dd1c4255a5504810711756, Most Probable Destination: 0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447

Average probability of source: 0.25
Average probability of destination: 0.5

Summary,,
Most Probable Source,02685697ab29f0076fc888368c0981eb3c305feaa6f6dd1c4255a5504810711756,
Most Probable Destination,0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,
Average Source Probability,,0.25
Average Destination Probability,,0.5
