Type,Node,Probability
Source,02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa,0.3333333333333333
Source,02edf45814cab185eed774a3fda50df9f3500104e14463cc7c4e737eef2a450a07,0.3333333333333333
Source,03b7884a508ecfa7267e365b5caf6f29da16aab3191539282a0a0efe7416fc5f0b,0.3333333333333333
Destination,02e1dad4d396696cb207a524bdf595f1a2e6792d7b990f18cef1ebd1b557bb110f,1.0

Summary,,
Most Probable Source,02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa,
Most Probable Destination,02e1dad4d396696cb207a524bdf595f1a2e6792d7b990f18cef1ebd1b557bb110f,
Average Source Probability,,0.3333333333333333
Average Destination Probability,,1.0
