Type,Node,Probability
Source,020cc974f733c32907b1a8cd7da6fc6c896e8eb45e1a1c3ec28a46b69b2fefe4ff,0.125
Source,023a5f825904b865384f6e1823b7313950d51af1df94f513b91af85e1540d3f245,0.125
Source,0338fa1a82a9cb51055b8b13f006baeaa06cef98ef150579af13ac8e4d751f928b,0.125
Source,03d64f062b0477097a5f4082da5c76300462698bf1e76b3f5d6f9fca1ecbee0aa4,0.125
Source,03e727485e4b61da70b2f276e1cb1975fb84cab719ba52bf63e5de307706b803b1,0.125
Source,03d8b823ed4c54c9d46fa18831b9c56520166bcff50e86682b4df7563d52424c30,0.125
Source,02c551a80ba5758c845fc4d554a234e119082fa36f30d185ab4ab1af2f46f1ba4d,0.125
Source,0353325e099c2b657ca5c4bb975a20b0c3de1d2391dabe73f40484aac255628d22,0.125
Destination,022a3d575fd624ce2d298bd3d5253754cfb77b5da4bdf6409ffea8a5c4314adcbf,0.5
Destination,039ee1518322d530b9b6bfe6b9b6a3b22f90d7d8bf4b89b05b1b8e08ac8deb91ac,0.5

Summary,,
Most Probable Source,020cc974f733c32907b1a8cd7da6fc6c896e8eb45e1a1c3ec28a46b69b2fefe4ff,
Most Probable Destination,022a3d575fd624ce2d298bd3d5253754cfb77b5da4bdf6409ffea8a5c4314adcbf,
Average Source Probability,,0.125
Average Destination Probability,,0.5
